                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8067,                 2.9083,                 1.9861,                0.36175,                0.49486,                0.36522,                0.13827,                 1.8858,                 2.3296,                 1.9586,               0.003328,               0.003328,               0.003328
                      2,                 1.7138,                 2.1382,                  1.853,                 0.5405,                  0.568,                0.56643,                0.23371,                 1.8039,                 1.7668,                 1.8817,              0.0065954,              0.0065954,              0.0065954
                      3,                 1.7787,                 2.0559,                  1.913,                0.35219,                0.41096,                0.29504,                0.11189,                 2.0122,                 2.1661,                 2.0728,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.8081,                 2.0513,                 1.9655,                0.45565,                0.55993,                0.49581,                0.19826,                  1.915,                 1.7191,                 2.0066,               0.009703,               0.009703,               0.009703
                      5,                  1.736,                 1.9393,                 1.8995,                0.43192,                0.53253,                0.43739,                0.16413,                  1.806,                 1.8798,                  1.886,               0.009604,               0.009604,               0.009604
                      6,                  1.692,                 1.8523,                  1.849,                0.59114,                0.64897,                0.61792,                 0.2769,                 1.7127,                 1.4146,                 1.7652,               0.009505,               0.009505,               0.009505
                      7,                 1.6481,                  1.798,                 1.8178,                0.65183,                0.67322,                0.68392,                0.29607,                 1.6892,                 1.3917,                 1.7573,               0.009406,               0.009406,               0.009406
                      8,                 1.6249,                 1.7657,                 1.7971,                0.68969,                0.70291,                0.74114,                0.35247,                 1.5729,                 1.3274,                  1.665,               0.009307,               0.009307,               0.009307
                      9,                  1.593,                 1.7144,                 1.7702,                0.73929,                0.73887,                0.77297,                0.38189,                 1.5707,                 1.2281,                 1.6927,               0.009208,               0.009208,               0.009208
                     10,                 1.5773,                 1.6972,                 1.7617,                0.80756,                0.77483,                0.83732,                0.39722,                 1.5694,                 1.2028,                 1.6758,               0.009109,               0.009109,               0.009109
                     11,                 1.5559,                 1.6611,                 1.7441,                0.80957,                0.77165,                0.83397,                0.41499,                 1.5236,                 1.1614,                  1.614,                0.00901,                0.00901,                0.00901
                     12,                 1.5376,                 1.6407,                 1.7266,                0.77543,                0.77825,                0.82609,                0.40306,                 1.4874,                 1.1937,                 1.5894,               0.008911,               0.008911,               0.008911
                     13,                  1.525,                 1.6245,                 1.7096,                0.79336,                0.83219,                0.85574,                0.44196,                 1.4899,                 1.0914,                 1.5951,               0.008812,               0.008812,               0.008812
                     14,                 1.5182,                 1.6142,                 1.7041,                0.81252,                0.79623,                0.84386,                0.43713,                 1.4579,                 1.1165,                 1.5663,               0.008713,               0.008713,               0.008713
                     15,                 1.5063,                 1.5901,                 1.6951,                0.82674,                0.83749,                0.88071,                0.46047,                 1.4345,                 1.0748,                 1.5518,               0.008614,               0.008614,               0.008614
                     16,                 1.4924,                 1.5679,                 1.6818,                0.86491,                0.84589,                0.91428,                0.48739,                  1.432,                 1.0429,                 1.5486,               0.008515,               0.008515,               0.008515
                     17,                 1.4818,                  1.561,                 1.6746,                0.85897,                0.83955,                0.89666,                0.49019,                 1.3912,                 1.0406,                 1.5036,               0.008416,               0.008416,               0.008416
                     18,                 1.4778,                 1.5462,                  1.669,                0.86156,                0.83647,                  0.895,                0.50174,                 1.3812,                 1.0191,                 1.5068,               0.008317,               0.008317,               0.008317
                     19,                 1.4654,                 1.5401,                 1.6671,                0.88718,                0.84831,                0.92212,                0.50706,                 1.3779,                 1.0176,                 1.5137,               0.008218,               0.008218,               0.008218
                     20,                 1.4557,                 1.5257,                 1.6543,                0.87937,                0.86644,                0.92165,                0.51183,                 1.3741,                0.97946,                 1.5027,               0.008119,               0.008119,               0.008119
                     21,                 1.4488,                 1.5172,                 1.6498,                0.86638,                0.85487,                0.91814,                0.51812,                  1.359,                0.99168,                 1.5087,                0.00802,                0.00802,                0.00802
                     22,                 1.4508,                 1.5104,                 1.6465,                0.87988,                0.86558,                0.92379,                0.52281,                 1.3589,                0.97116,                 1.4921,               0.007921,               0.007921,               0.007921
                     23,                 1.4433,                 1.5044,                 1.6486,                0.88569,                0.87562,                0.92915,                0.53424,                 1.3308,                0.96107,                 1.4673,               0.007822,               0.007822,               0.007822
                     24,                  1.429,                 1.4901,                 1.6348,                0.90435,                0.86615,                0.93556,                 0.5431,                 1.3162,                0.93668,                 1.4624,               0.007723,               0.007723,               0.007723
                     25,                 1.4213,                 1.4828,                 1.6267,                0.90516,                0.86613,                 0.9225,                0.53341,                 1.3215,                0.94668,                 1.4645,               0.007624,               0.007624,               0.007624
                     26,                   1.42,                 1.4714,                 1.6249,                0.89353,                0.87671,                0.93404,                0.54783,                  1.306,                0.92271,                 1.4626,               0.007525,               0.007525,               0.007525
                     27,                 1.4107,                 1.4759,                 1.6195,                0.86927,                0.89469,                0.93498,                0.55278,                 1.3019,                 0.9215,                 1.4514,               0.007426,               0.007426,               0.007426
                     28,                 1.4134,                 1.4599,                 1.6193,                 0.8957,                0.88232,                0.93922,                0.55577,                 1.3014,                0.90016,                 1.4485,               0.007327,               0.007327,               0.007327
                     29,                 1.4101,                 1.4508,                   1.62,                 0.8801,                0.89237,                0.94164,                0.56309,                 1.2835,                0.89924,                 1.4365,               0.007228,               0.007228,               0.007228
                     30,                 1.3962,                  1.455,                 1.6155,                0.89459,                0.89368,                0.94074,                0.56927,                 1.2796,                0.89459,                 1.4379,               0.007129,               0.007129,               0.007129
                     31,                 1.3926,                 1.4447,                 1.6094,                0.89437,                0.89897,                0.94601,                0.57026,                 1.2832,                0.86788,                 1.4472,                0.00703,                0.00703,                0.00703
                     32,                 1.3885,                 1.4324,                 1.6071,                0.90644,                0.89897,                0.94965,                0.57384,                 1.2798,                0.85822,                 1.4423,               0.006931,               0.006931,               0.006931
                     33,                   1.38,                 1.4235,                 1.5916,                0.90503,                0.90567,                0.95334,                0.58185,                 1.2731,                0.85522,                 1.4307,               0.006832,               0.006832,               0.006832
                     34,                 1.3807,                 1.4206,                 1.5998,                0.90292,                0.90582,                0.95305,                0.58367,                 1.2721,                 0.8458,                   1.43,               0.006733,               0.006733,               0.006733
                     35,                 1.3798,                  1.411,                 1.5958,                0.90708,                 0.9026,                0.95448,                0.58197,                 1.2648,                0.83791,                 1.4237,               0.006634,               0.006634,               0.006634
                     36,                 1.3721,                 1.4039,                  1.593,                0.89311,                 0.9085,                0.95198,                0.58255,                 1.2557,                0.84123,                 1.4224,               0.006535,               0.006535,               0.006535
                     37,                 1.3667,                 1.3981,                  1.589,                0.90287,                0.90722,                 0.9544,                0.59008,                 1.2574,                0.82763,                 1.4183,               0.006436,               0.006436,               0.006436
                     38,                 1.3635,                 1.3895,                 1.5905,                0.89002,                0.92148,                0.95378,                0.58982,                 1.2581,                0.82228,                 1.4229,               0.006337,               0.006337,               0.006337
                     39,                 1.3628,                 1.3851,                 1.5839,                0.88792,                 0.9161,                0.95378,                0.59257,                 1.2561,                  0.814,                 1.4197,               0.006238,               0.006238,               0.006238
                     40,                 1.3591,                 1.3761,                 1.5872,                0.89832,                0.91353,                0.95716,                0.59523,                 1.2527,                0.80851,                 1.4222,               0.006139,               0.006139,               0.006139
                     41,                 1.3528,                 1.3758,                 1.5817,                0.89997,                0.91695,                0.95874,                0.59636,                 1.2541,                0.80433,                 1.4258,                0.00604,                0.00604,                0.00604
                     42,                  1.354,                 1.3706,                  1.575,                0.90005,                 0.9161,                0.95817,                0.59767,                 1.2488,                 0.7973,                 1.4207,               0.005941,               0.005941,               0.005941
                     43,                  1.343,                 1.3544,                 1.5657,                0.90081,                0.92209,                0.95911,                0.59816,                 1.2467,                0.79391,                 1.4182,               0.005842,               0.005842,               0.005842
                     44,                 1.3392,                 1.3493,                 1.5634,                0.89984,                0.92295,                0.96081,                 0.6002,                 1.2458,                0.78752,                 1.4181,               0.005743,               0.005743,               0.005743
                     45,                 1.3383,                 1.3504,                 1.5727,                 0.9003,                0.92295,                0.96191,                0.59936,                 1.2442,                0.78568,                  1.419,               0.005644,               0.005644,               0.005644
                     46,                 1.3362,                 1.3414,                 1.5595,                0.89976,                0.92216,                0.96119,                0.60039,                 1.2415,                0.78572,                 1.4163,               0.005545,               0.005545,               0.005545
                     47,                 1.3309,                 1.3334,                 1.5559,                0.90514,                0.92295,                0.96156,                0.60095,                 1.2366,                0.78395,                  1.414,               0.005446,               0.005446,               0.005446
