                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2737,                 2.9929,                 1.4305,                0.49093,                0.72013,                0.62433,                0.36644,                 1.3619,                 1.3576,                 1.7476,              0.0033184,              0.0033184,              0.0033184
                      2,                 1.2219,                 1.5781,                 1.3937,                0.63104,                 0.7977,                0.77365,                0.48029,                 1.2603,                 1.1097,                 1.6434,              0.0066078,              0.0066078,              0.0066078
                      3,                 1.2212,                 1.4727,                 1.3866,                0.55471,                0.64384,                0.63789,                0.36821,                  1.373,                 1.4693,                 1.7897,              0.0098532,              0.0098532,              0.0098532
                      4,                 1.2363,                 1.4514,                 1.4043,                0.48959,                0.62545,                0.60767,                0.35129,                 1.4019,                 1.4102,                 1.7777,               0.009802,               0.009802,               0.009802
                      5,                 1.1949,                 1.3538,                 1.3863,                0.72516,                0.75465,                0.79401,                0.46924,                 1.3564,                  1.041,                  1.713,               0.009736,               0.009736,               0.009736
                      6,                 1.1839,                 1.2717,                 1.3801,                0.74177,                0.73933,                0.80666,                0.48948,                 1.3152,                  1.021,                  1.663,                0.00967,                0.00967,                0.00967
                      7,                 1.1617,                 1.2105,                 1.3605,                0.68032,                0.76913,                0.79928,                0.49644,                 1.2423,                 1.0087,                 1.6125,               0.009604,               0.009604,               0.009604
                      8,                 1.1545,                 1.1667,                 1.3593,                0.72701,                0.78986,                0.82093,                0.51041,                  1.259,                0.93055,                 1.5896,               0.009538,               0.009538,               0.009538
                      9,                 1.1427,                 1.1253,                 1.3492,                 0.6774,                0.74775,                0.80181,                0.50517,                 1.2292,                 1.0024,                 1.5757,               0.009472,               0.009472,               0.009472
                     10,                 1.1249,                 1.0849,                 1.3406,                0.73029,                0.83159,                0.83898,                0.53331,                 1.2342,                 0.8421,                  1.604,               0.009406,               0.009406,               0.009406
                     11,                  1.123,                 1.0625,                 1.3366,                0.51688,                0.69368,                0.62708,                0.37014,                 1.3804,                 1.3465,                 1.7206,                0.00934,                0.00934,                0.00934
                     12,                 1.1186,                 1.0436,                 1.3341,                0.69727,                0.79129,                0.82747,                0.52933,                 1.2485,                0.93383,                 1.5932,               0.009274,               0.009274,               0.009274
                     13,                  1.109,                 1.0381,                 1.3295,                0.76671,                0.83919,                0.86549,                0.55549,                 1.1988,                0.78575,                 1.5321,               0.009208,               0.009208,               0.009208
