epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.47,1.16815,1.87093,1.49401,0.89797,0.83577,0.8918,0.56503,1.20534,1.12222,1.5411,0.00332353,0.00332353,0.00332353
2,181.416,1.06351,1.31929,1.41268,0.8071,0.74698,0.80394,0.47735,1.35094,1.1713,1.73207,0.00652506,0.00652506,0.00652506
3,280.153,1.14119,1.32509,1.47703,0.64058,0.53907,0.57036,0.29301,1.74037,2.06823,2.2144,0.00959458,0.00959458,0.00959458
4,387.539,1.15879,1.31742,1.4968,0.81255,0.78472,0.83238,0.46372,1.52828,1.43017,1.89075,0.009406,0.009406,0.009406
5,495.92,1.10183,1.22866,1.45882,0.84642,0.82277,0.86414,0.53538,1.30874,0.88258,1.72416,0.009208,0.009208,0.009208
6,605.703,1.06831,1.1809,1.43807,0.85297,0.78356,0.84554,0.47135,1.51703,1.0454,1.87663,0.00901,0.00901,0.00901
7,718.062,1.04056,1.13992,1.4175,0.90135,0.84876,0.90739,0.58214,1.17455,0.74764,1.56687,0.008812,0.008812,0.008812
8,837.573,1.01585,1.09863,1.40018,0.91452,0.85822,0.89981,0.56592,1.27568,0.77457,1.628,0.008614,0.008614,0.008614
9,950.043,1.00586,1.08365,1.39184,0.92079,0.85137,0.91773,0.61246,1.12005,0.69191,1.50212,0.008416,0.008416,0.008416
10,1066.11,1.00007,1.06446,1.38541,0.90856,0.86671,0.90886,0.59323,1.15066,0.7106,1.52864,0.008218,0.008218,0.008218
11,1186.4,0.97834,1.03952,1.37077,0.92042,0.87939,0.92811,0.62537,1.11108,0.65089,1.48975,0.00802,0.00802,0.00802
12,1297.36,0.96719,1.02208,1.36226,0.91659,0.88147,0.92322,0.61731,1.11588,0.6559,1.48119,0.007822,0.007822,0.007822
13,1404.69,0.95995,1.01261,1.35664,0.92257,0.88381,0.9241,0.6319,1.07236,0.62105,1.45523,0.007624,0.007624,0.007624
14,1507.95,0.95441,1.00718,1.35229,0.92192,0.87747,0.93228,0.63757,1.08939,0.62207,1.45163,0.007426,0.007426,0.007426
15,1620.75,0.94275,0.99079,1.34712,0.92797,0.89679,0.93508,0.65599,1.03773,0.58479,1.42252,0.007228,0.007228,0.007228
16,1733.02,0.93592,0.97976,1.33944,0.93257,0.8962,0.93636,0.64577,1.05902,0.57285,1.43349,0.00703,0.00703,0.00703
17,1847.25,0.93454,0.97488,1.33836,0.93373,0.90159,0.93658,0.65296,1.03423,0.57065,1.40208,0.006832,0.006832,0.006832
18,1953.5,0.92591,0.96248,1.32961,0.93796,0.90888,0.94341,0.67045,1.02215,0.54857,1.38699,0.006634,0.006634,0.006634
19,2063.36,0.91698,0.95036,1.32344,0.9365,0.9015,0.93869,0.6678,1.02393,0.55418,1.38287,0.006436,0.006436,0.006436
20,2175.66,0.91995,0.95644,1.32547,0.94253,0.90534,0.9407,0.66749,1.01316,0.53562,1.39112,0.006238,0.006238,0.006238
21,2285.86,0.91396,0.9352,1.31838,0.94465,0.90062,0.943,0.67475,1.00892,0.53366,1.37254,0.00604,0.00604,0.00604
22,2391.29,0.90405,0.93172,1.31748,0.9392,0.90239,0.94495,0.67589,0.99301,0.52869,1.35275,0.005842,0.005842,0.005842
23,2497.05,0.90175,0.92405,1.31017,0.93805,0.90858,0.94511,0.67698,0.99513,0.51848,1.35284,0.005644,0.005644,0.005644
24,2607.41,0.90096,0.92223,1.31015,0.94974,0.90836,0.94998,0.68054,0.98759,0.51074,1.34695,0.005446,0.005446,0.005446
25,2714.64,0.88953,0.90818,1.30248,0.94733,0.91271,0.94623,0.69134,0.9775,0.50129,1.32961,0.005248,0.005248,0.005248
26,2825.15,0.88398,0.8997,1.29967,0.9512,0.91183,0.94933,0.69218,0.97968,0.49723,1.3298,0.00505,0.00505,0.00505
27,2933.23,0.88293,0.90014,1.29912,0.94596,0.91418,0.9505,0.68987,0.97431,0.49572,1.33603,0.004852,0.004852,0.004852
28,3040.92,0.88118,0.8981,1.29914,0.95338,0.91658,0.952,0.69873,0.96155,0.48278,1.31447,0.004654,0.004654,0.004654
29,3151.02,0.87469,0.87949,1.29214,0.95372,0.91166,0.94948,0.69867,0.95398,0.48283,1.31562,0.004456,0.004456,0.004456
30,3255.54,0.87713,0.88486,1.29328,0.94741,0.91908,0.95403,0.70519,0.95224,0.47645,1.31509,0.004258,0.004258,0.004258
31,3346.04,0.86651,0.87334,1.28493,0.94537,0.91831,0.95274,0.70342,0.95344,0.47817,1.30792,0.00406,0.00406,0.00406
32,3440.3,0.86183,0.8722,1.28138,0.95625,0.91532,0.95463,0.70265,0.95261,0.47284,1.30967,0.003862,0.003862,0.003862
33,3539.1,0.8571,0.86736,1.28058,0.94751,0.92085,0.95369,0.70399,0.94412,0.46805,1.30416,0.003664,0.003664,0.003664
34,3637.31,0.84879,0.85816,1.27749,0.9567,0.91477,0.95337,0.7078,0.94261,0.46352,1.30164,0.003466,0.003466,0.003466
35,3733.45,0.85461,0.85685,1.27377,0.95629,0.91625,0.95504,0.7068,0.94294,0.46352,1.29902,0.003268,0.003268,0.003268
36,3829.85,0.84424,0.84804,1.2711,0.95614,0.92008,0.95338,0.70771,0.94239,0.46257,1.30214,0.00307,0.00307,0.00307
37,3929.53,0.84035,0.84031,1.26708,0.9541,0.92038,0.95343,0.70813,0.94051,0.45818,1.29857,0.002872,0.002872,0.002872
38,4023.53,0.84,0.83757,1.26494,0.95649,0.92048,0.95531,0.70795,0.9393,0.4545,1.29443,0.002674,0.002674,0.002674
39,4117.14,0.83706,0.83431,1.26598,0.95379,0.92185,0.95497,0.70904,0.93605,0.4533,1.2921,0.002476,0.002476,0.002476
40,4212.06,0.83104,0.82479,1.26007,0.95309,0.92185,0.95564,0.71092,0.93442,0.45234,1.29053,0.002278,0.002278,0.002278
41,4296.59,0.85291,0.74777,1.30671,0.95217,0.92178,0.95568,0.71149,0.92987,0.45144,1.28522,0.00208,0.00208,0.00208
42,4376.35,0.844,0.7285,1.29512,0.95163,0.92274,0.95569,0.7125,0.92555,0.45006,1.28116,0.001882,0.001882,0.001882
43,4457.57,0.83868,0.71702,1.29225,0.95116,0.92421,0.95558,0.71498,0.92462,0.44731,1.27913,0.001684,0.001684,0.001684
44,4537.63,0.82966,0.71451,1.28707,0.94898,0.92691,0.95661,0.71633,0.92398,0.44621,1.27677,0.001486,0.001486,0.001486
45,4620.15,0.82269,0.70379,1.28466,0.95207,0.92598,0.95611,0.71735,0.92305,0.44525,1.27453,0.001288,0.001288,0.001288
46,4702.38,0.81637,0.69353,1.27756,0.9521,0.92628,0.95644,0.71773,0.92129,0.44437,1.27278,0.00109,0.00109,0.00109
47,4785.31,0.81295,0.68945,1.27364,0.95311,0.92569,0.9565,0.7187,0.9206,0.44413,1.27191,0.000892,0.000892,0.000892
48,4868.65,0.80457,0.67581,1.26689,0.95489,0.92385,0.95675,0.71972,0.91956,0.44337,1.27115,0.000694,0.000694,0.000694
49,4953.94,0.80027,0.66938,1.26151,0.95452,0.92421,0.95668,0.71951,0.91872,0.443,1.27051,0.000496,0.000496,0.000496
50,5034.05,0.79422,0.66038,1.25935,0.95493,0.92468,0.95722,0.72052,0.91798,0.44297,1.26967,0.000298,0.000298,0.000298
