epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5274,1.34458,4.59218,1.69375,0.01559,0.51065,0.02525,0.0153,1.1831,3.81864,1.65398,0.00330789,0.00330789,0.00330789
2,85.7377,1.26929,3.92135,1.61009,0.16507,0.20996,0.12053,0.06855,1.59544,4.81105,2.27181,0.00660835,0.00660835,0.00660835
3,111.348,1.4201,3.09139,1.67487,0.17247,0.10376,0.02388,0.01153,2.5032,9.15898,3.32891,0.00987581,0.00987581,0.00987581
4,140.458,1.45505,2.72276,1.68194,0.22549,0.19945,0.12604,0.05665,2.33828,4.69669,3.36937,0.0098515,0.0098515,0.0098515
5,171.214,1.41319,2.34762,1.63159,0.54528,0.44127,0.44078,0.21086,1.68326,2.20506,2.08614,0.009802,0.009802,0.009802
6,202.282,1.37577,2.07597,1.5982,0.41542,0.45937,0.40678,0.19046,1.84054,2.75674,2.26909,0.0097525,0.0097525,0.0097525
7,234.399,1.34599,1.86722,1.57209,0.66613,0.68824,0.73052,0.45051,1.31283,1.31223,1.72219,0.009703,0.009703,0.009703
8,267.033,1.33597,1.71974,1.56309,0.68324,0.5729,0.64925,0.41063,1.31364,1.69022,1.71696,0.0096535,0.0096535,0.0096535
9,300.732,1.31246,1.5935,1.54198,0.73454,0.67402,0.74125,0.47274,1.3511,1.49947,1.72951,0.009604,0.009604,0.009604
10,334.812,1.30486,1.52162,1.52966,0.7441,0.6147,0.70228,0.4305,1.43074,1.50261,1.79377,0.0095545,0.0095545,0.0095545
11,370.472,1.28389,1.46544,1.52024,0.85279,0.8384,0.88142,0.56804,1.30966,0.84434,1.64446,0.009505,0.009505,0.009505
12,406.811,1.27548,1.41038,1.51228,0.79423,0.76816,0.83561,0.49831,1.45326,1.08034,1.73388,0.0094555,0.0094555,0.0094555
13,444.442,1.2597,1.35981,1.50969,0.83111,0.81373,0.86785,0.56223,1.23388,0.87993,1.69457,0.009406,0.009406,0.009406
14,483.275,1.25847,1.32184,1.49805,0.88696,0.84039,0.88971,0.55685,1.37268,0.84311,1.68802,0.0093565,0.0093565,0.0093565
15,522.357,1.24621,1.27693,1.48626,0.85883,0.84159,0.89104,0.60038,1.22615,0.80406,1.60267,0.009307,0.009307,0.009307
16,559.838,1.23233,1.249,1.48383,0.89936,0.87929,0.91156,0.60522,1.20181,0.70778,1.56245,0.0092575,0.0092575,0.0092575
17,600.583,1.236,1.25588,1.4897,0.88177,0.86728,0.90037,0.61002,1.20123,0.7477,1.5782,0.009208,0.009208,0.009208
18,641.86,1.227,1.24042,1.48207,0.893,0.90085,0.91181,0.61147,1.20869,0.70086,1.57331,0.0091585,0.0091585,0.0091585
19,682.06,1.21918,1.20107,1.47169,0.89752,0.87259,0.90922,0.60726,1.24458,0.71685,1.55397,0.009109,0.009109,0.009109
20,721.312,1.21618,1.19381,1.47721,0.88202,0.88199,0.91099,0.62238,1.15239,0.66655,1.55205,0.0090595,0.0090595,0.0090595
21,763.065,1.20909,1.1774,1.47097,0.89158,0.88755,0.91142,0.62554,1.17103,0.66536,1.5457,0.00901,0.00901,0.00901
22,803.511,1.21829,1.15356,1.46852,0.92167,0.91038,0.92762,0.63916,1.14558,0.57856,1.52014,0.0089605,0.0089605,0.0089605
23,848.945,1.19895,1.13527,1.46491,0.91223,0.89213,0.91856,0.63105,1.17134,0.60798,1.56721,0.008911,0.008911,0.008911
24,891.987,1.18563,1.11598,1.45029,0.91617,0.89474,0.91862,0.63185,1.16344,0.61945,1.51342,0.0088615,0.0088615,0.0088615
25,933.81,1.18211,1.09634,1.44886,0.93091,0.92075,0.92623,0.63881,1.18997,0.58125,1.51966,0.008812,0.008812,0.008812
26,977.446,1.17682,1.08523,1.43944,0.91773,0.92012,0.92419,0.63914,1.13906,0.58135,1.51754,0.0087625,0.0087625,0.0087625
27,1019.01,1.17711,1.07967,1.44162,0.91391,0.90543,0.91926,0.6253,1.21574,0.60303,1.55351,0.008713,0.008713,0.008713
28,1060.62,1.16851,1.07851,1.44033,0.93064,0.91599,0.92544,0.63521,1.16924,0.58492,1.54112,0.0086635,0.0086635,0.0086635
29,1105.2,1.16243,1.06421,1.43631,0.91755,0.89612,0.9221,0.6294,1.22601,0.61337,1.56034,0.008614,0.008614,0.008614
30,1145.07,1.15749,1.05512,1.42697,0.93614,0.92399,0.93341,0.65437,1.11081,0.5285,1.49378,0.0085645,0.0085645,0.0085645
31,1187.44,1.15859,1.06508,1.43112,0.9293,0.91218,0.92792,0.65165,1.13917,0.56205,1.50924,0.008515,0.008515,0.008515
32,1230.14,1.15404,1.03908,1.42395,0.92585,0.92027,0.92724,0.64811,1.13557,0.54746,1.50133,0.0084655,0.0084655,0.0084655
33,1273.57,1.15209,1.04677,1.42728,0.93174,0.91791,0.92883,0.65129,1.12314,0.53283,1.50013,0.008416,0.008416,0.008416
34,1316.66,1.14576,1.02529,1.41944,0.92843,0.92583,0.93225,0.65487,1.12481,0.5352,1.49817,0.0083665,0.0083665,0.0083665
35,1364.15,1.14442,1.01937,1.41402,0.93587,0.92672,0.93523,0.64781,1.15535,0.54422,1.50942,0.008317,0.008317,0.008317
36,1403.22,1.13902,1.01203,1.41654,0.9279,0.91963,0.92348,0.6398,1.12322,0.54941,1.5099,0.0082675,0.0082675,0.0082675
37,1441.67,1.13368,1.0091,1.41136,0.93212,0.91731,0.9305,0.65772,1.14068,0.54146,1.49389,0.008218,0.008218,0.008218
38,1479.4,1.13442,1.00516,1.41192,0.931,0.9189,0.93355,0.66202,1.10857,0.52066,1.49305,0.0081685,0.0081685,0.0081685
39,1520.54,1.119,0.99922,1.40173,0.92941,0.92338,0.9327,0.65527,1.15571,0.53732,1.50148,0.008119,0.008119,0.008119
40,1559.46,1.12103,0.99262,1.4029,0.93059,0.91723,0.93119,0.65878,1.1145,0.52216,1.48751,0.0080695,0.0080695,0.0080695
41,1598.05,1.124,0.96981,1.40522,0.9337,0.92968,0.93351,0.65791,1.12689,0.51811,1.48728,0.00802,0.00802,0.00802
42,1635.45,1.11842,0.98975,1.39794,0.93668,0.91969,0.93287,0.6612,1.10799,0.50994,1.48567,0.0079705,0.0079705,0.0079705
43,1676.47,1.11197,0.9688,1.39784,0.93385,0.91482,0.93112,0.6557,1.14836,0.52694,1.49689,0.007921,0.007921,0.007921
44,1715.94,1.10496,0.954,1.39097,0.94159,0.92738,0.93372,0.66038,1.14015,0.50835,1.48411,0.0078715,0.0078715,0.0078715
45,1753.59,1.09976,0.97009,1.3856,0.92811,0.91939,0.93052,0.65939,1.13173,0.52556,1.49346,0.007822,0.007822,0.007822
46,1794.44,1.10997,0.9802,1.39848,0.93798,0.92313,0.93673,0.66151,1.10812,0.5026,1.48192,0.0077725,0.0077725,0.0077725
47,1833.61,1.10342,0.96167,1.39425,0.93388,0.92617,0.93222,0.66581,1.08682,0.49672,1.46942,0.007723,0.007723,0.007723
48,1874.75,1.09823,0.95342,1.38378,0.9328,0.92454,0.93471,0.66295,1.12935,0.51352,1.47875,0.0076735,0.0076735,0.0076735
49,1914.21,1.09853,0.94612,1.38595,0.92441,0.92738,0.92972,0.66586,1.10475,0.49837,1.46897,0.007624,0.007624,0.007624
50,1951.73,1.08746,0.9332,1.37702,0.93318,0.92744,0.9362,0.66345,1.10439,0.49865,1.47963,0.0075745,0.0075745,0.0075745
51,1992,1.0844,0.93593,1.37541,0.92725,0.92477,0.92887,0.6616,1.09056,0.50007,1.4845,0.007525,0.007525,0.007525
52,2032.33,1.08445,0.93631,1.37847,0.93939,0.92557,0.92779,0.6664,1.09504,0.48702,1.46016,0.0074755,0.0074755,0.0074755
53,2076.77,1.08226,0.9278,1.37547,0.93127,0.9292,0.93234,0.66752,1.10379,0.48258,1.4679,0.007426,0.007426,0.007426
54,2114.78,1.08144,0.92973,1.37496,0.9334,0.92244,0.92966,0.66677,1.09205,0.49953,1.47616,0.0073765,0.0073765,0.0073765
55,2154.49,1.0754,0.91739,1.37287,0.92935,0.93063,0.93268,0.66546,1.11604,0.49326,1.47259,0.007327,0.007327,0.007327
56,2194.37,1.07026,0.90238,1.3667,0.93637,0.92919,0.93441,0.67,1.09129,0.49348,1.46137,0.0072775,0.0072775,0.0072775
57,2232.81,1.06976,0.91833,1.36807,0.9296,0.9322,0.93434,0.66475,1.09061,0.49871,1.46987,0.007228,0.007228,0.007228
58,2272.56,1.06464,0.89705,1.36173,0.93733,0.9317,0.93917,0.67331,1.09241,0.47768,1.46537,0.0071785,0.0071785,0.0071785
59,2311.56,1.06917,0.89056,1.35908,0.93207,0.92581,0.93745,0.6706,1.0823,0.48125,1.46927,0.007129,0.007129,0.007129
